method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,stable_unchanged,exact,exact,1.0,1.0
008516d5b1c7707b42377578307d006b,20a413f26dc13716e939ec95126529f2,stable_unchanged,exact,exact,1.0,1.0
008516d5b1c7707b42377578307d006b,c1a81bb83f4bf28ef45d1fcaa52927e4,stable_unchanged,exact,exact,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,d10fd9c7d301d78f4627375fdd2d3f0d,stable_unchanged,exact,exact,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,e4ca304b75ddbb83b6b46152f705185d,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,stable_unchanged,exact,exact,1.0,1.0
00c46a2676d2cb60bc35f977e9e42be6,59cb78a41f857939fbb0ca93d094559e,stable_with_minor_changes,exact,unknown,1.0,
00edbe8f19ecbbc27bca836dbb291b0b,2fb1b0d1d6817b5f7ad2879e9fa24d47,stable_unchanged,exact,exact,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,f43312bc8bae6c3cd2955adea84d90dc,stable_unchanged,exact,exact,1.0,1.0
01a03d134420e799dc597b7f256dd0cc,8f58fb09614f57eefdb373c0c911d237,stable_unchanged,exact,exact,1.0,1.0
01b59848bfd3a53bf98711da9c9f064f,03be27f13cc928dad784fbcc7b811cbe,stable_unchanged,exact,exact,1.0,1.0
01b59848bfd3a53bf98711da9c9f064f,53ebbf4c888fce159205b36dcae7e398,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,2b584cdeaef025014ae6b2c4a4bf8c5f,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,6ea259cb3b13bab3b2cc3a7c69213f28,stable_unchanged,exact,exact,1.0,1.0
021f53e179926fcae3f86b77d79217d7,fda2a18888e803b50db7d1129e8edb5b,stable_unchanged,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,cdc86efc1bae62cce857051e26da1152,stable_unchanged,exact,exact,1.0,1.0
0245c170683f886570c5d65fec8a5110,b6cd2615d44b2f1e3f5beb564bf138a1,stable_unchanged,exact,exact,1.0,1.0
029627d0fc5f90a61ee606f19e5de04c,09856b8d0765e997dd958d97bf7a4a14,stable_with_minor_changes,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,112c8a6ad2a620f93656f3ff239b3131,stable_with_minor_changes,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1b01f5d4dce2967b2d444aebbff7462b,stable_with_minor_changes,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1e7f3f51b8fed8eefd7df374acbf09d6,stable_with_minor_changes,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1f537ba165a96dd161e065c9d26d4131,stable_with_minor_changes,unknown,unknown,,
